Timestamp,Target IP,Hop Number,Hop IP,Latency,City,Region,Country
2024-11-07 23:40:17,216.73.80.0,12,142.251.254.56,108.8,Atlanta,Georgia,US
2024-11-07 23:40:17,216.73.80.0,13,142.251.67.139,130.4,Dallas,Texas,US
2024-11-07 23:40:17,216.73.80.0,14,142.251.70.198,125.0,Dallas,Texas,US
2024-11-07 23:40:17,216.73.80.0,15,108.170.228.100,128.4,Dallas,Texas,US
2024-11-07 23:40:17,216.73.80.0,16,216.239.59.73,125.8,Dallas,Texas,US
2024-11-07 23:40:17,216.73.80.0,17,172.253.78.58,128.7,Dallas,Texas,US
2024-11-07 23:40:17,208.65.152.0,4,172.21.18.154,17.4,,,
2024-11-07 23:40:17,208.65.152.0,7,216.239.48.44,19.9,Paris,Île-de-France,FR
2024-11-07 23:40:17,208.117.254.0,1,10.192.146.1,2.4,,,
2024-11-07 23:40:17,208.117.254.0,2,172.22.1.1,2.3,,,
2024-11-07 23:40:17,208.117.254.0,4,172.21.18.154,18.1,,,
2024-11-07 23:40:17,208.117.254.0,7,216.239.48.138,19.0,Paris,Île-de-France,FR
2024-11-07 23:40:17,208.117.254.0,8,108.170.255.238,19.1,Paris,Île-de-France,FR
2024-11-07 23:40:17,208.117.254.0,9,108.170.230.211,19.4,Paris,Île-de-France,FR
2024-11-07 23:40:17,208.117.254.0,10,216.239.43.184,94.2,Washington,District of Columbia,US
2024-11-07 23:40:17,208.117.254.0,11,192.178.81.225,110.4,Ashburn,Virginia,US
2024-11-07 23:40:17,208.117.254.0,12,192.178.72.201,116.0,Chicago,Illinois,US
2024-11-07 23:40:17,208.117.254.0,13,192.178.111.167,121.6,Council Bluffs,Iowa,US
2024-11-07 23:40:17,208.117.254.0,14,108.170.252.161,163.7,Omaha,Nebraska,US
2024-11-07 23:40:17,208.117.254.0,15,172.253.51.123,126.8,Denver,Colorado,US
2024-11-07 23:40:17,208.117.254.0,16,192.178.97.153,130.0,Denver,Colorado,US
2024-11-07 23:40:17,208.117.254.0,17,74.125.242.224,125.6,Denver,Colorado,US
2024-11-07 23:40:17,208.117.254.0,19,208.117.254.0,131.9,Denver,Colorado,US
2024-11-07 23:40:17,208.117.251.0,1,10.192.146.1,2.1,,,
2024-11-07 23:40:17,208.117.251.0,2,172.22.1.1,2.0,,,
2024-11-07 23:40:17,208.117.251.0,4,172.21.18.154,25.3,,,
2024-11-07 23:40:17,208.117.251.0,5,213.144.168.20,22.1,Paris,Île-de-France,FR
2024-11-07 23:40:17,208.117.251.0,6,195.22.216.29,108.8,New York City,New York,US
2024-11-07 23:40:17,208.117.251.0,7,195.22.195.51,107.0,New York City,New York,US
2024-11-07 23:40:17,208.117.250.0,4,172.21.18.154,17.8,,,
2024-11-07 23:40:17,208.117.240.0,4,172.21.18.154,17.7,,,
2024-11-07 23:40:17,208.117.240.0,12,185.25.28.214,375.6,Frankfurt am Main,Hesse,DE
2024-11-07 23:40:17,208.117.240.0,13,89.207.228.52,384.5,Amsterdam,North Holland,NL
2024-11-07 23:40:17,208.117.240.0,14,185.25.28.139,383.0,Chicago,Illinois,US
2024-11-07 23:40:17,208.117.240.0,15,185.25.28.127,381.7,San Jose,California,US
2024-11-07 23:40:17,208.117.240.0,16,185.25.29.96,381.7,San Jose,California,US
2024-11-07 23:40:17,208.117.240.0,17,185.25.28.47,374.9,Los Angeles,California,US
2024-11-07 23:40:17,208.117.240.0,18,185.25.30.8,375.7,Los Angeles,California,US
2024-11-07 23:40:17,208.117.238.0,1,10.192.146.1,2.2,,,
2024-11-07 23:40:17,208.117.238.0,2,172.22.1.1,2.3,,,
